,phrase,label,sentiment,subjectivity,language,count
monthly,monthly,DATE,,,en,6
April 6,April 6,DATE,,,en,6
May 31,May 31,DATE,,,en,5
Holocaust,Holocaust,EVENT,,,en,5
Balkan,Balkan,NORP,,,en,5
Scottish,Scottish,NORP,,,en,5
two months,two months,DATE,,,en,5
This week,This week,DATE,,,en,5
June 30,June 30,DATE,,,en,5
April 28,April 28,DATE,,,en,5
Turkiye,Turkiye,NORP,,,en,5
1992,1992,DATE,,,en,5
two-hour,two-hour,TIME,,,en,5
six weeks,six weeks,DATE,,,en,5
2016,2016,CARDINAL,,,en,5
Senegalese,Senegalese,NORP,,,en,5
82,82,CARDINAL,,,en,5
billions,billions,CARDINAL,,,en,5
Mauritian,Mauritian,NORP,,,en,5
earlier this year,earlier this year,DATE,,,en,5
Falklands,Falklands,NORP,,,en,5
Operation Epic Fury,Operation Epic Fury,EVENT,,,en,5
Azerbaijani,Azerbaijani,NORP,,,en,5
Nigerian,Nigerian,NORP,,,en,5
June 4,June 4,DATE,,,en,5
Red Square,Red Square,FAC,-0.4313888888888888,0.6222222222222223,en,5
May 23,May 23,DATE,,,en,5
72,72,DATE,,,en,5
June 7,June 7,DATE,,,en,5
Mexican,Mexican,NORP,,,en,5
more than 100,more than 100,CARDINAL,,,en,5
2026 World Cup,2026 World Cup,EVENT,,,en,5
Armenian,Armenian,NORP,,,en,5
tonight,tonight,TIME,,,en,5
Rafale,Rafale,PRODUCT,,,en,5
next week,next week,DATE,,,en,5
23 March 2026,23 March 2026,DATE,,,en,5
late 2024,late 2024,DATE,,,en,5
May 26,May 26,DATE,,,en,5
25,25,CARDINAL,,,en,5
2nd,2nd,ORDINAL,,,en,5
24 hours,24 hours,TIME,,,en,5
115,115,MONEY,,,en,5
2006,2006,DATE,,,en,5
sixth,sixth,ORDINAL,,,en,5
June 16,June 16,DATE,,,en,5
Covid,Covid,NORP,,,en,5
next year,next year,DATE,,,en,5
Pakistani,Pakistani,NORP,,,en,5
"April 07, 2026 (GLOBE NEWSWIRE)","April 07, 2026 (GLOBE NEWSWIRE)",DATE,,,en,5
Moroccan,Moroccan,NORP,,,en,5
at least two,at least two,CARDINAL,,,en,5
May 17,May 17,DATE,,,en,5
Hours,Hours,TIME,,,en,4
the days,the days,DATE,,,en,4
only one,only one,CARDINAL,,,en,4
Hutu,Hutu,NORP,,,en,4
Sudanese,Sudanese,NORP,,,en,4
April 29,April 29,DATE,,,en,4
$70 million,$70 million,MONEY,,,en,4
2010,2010,DATE,,,en,4
"May 19, 2026 /PRNewswire/","May 19, 2026 /PRNewswire/",DATE,,,en,4
its fifth week,its fifth week,DATE,,,en,4
Czech,Czech,NORP,,,en,4
May 18,May 18,DATE,,,en,4
Sunday evening,Sunday evening,TIME,,,en,4
April 20,April 20,DATE,,,en,4
"3,000","3,000",CARDINAL,,,en,4
At least four,At least four,CARDINAL,,,en,4
Air Force One,Air Force One,PRODUCT,,,en,4
Swedish,Swedish,NORP,,,en,4
2015,2015,DATE,,,en,4
Eurasian,Eurasian,NORP,,,en,4
28 February,28 February,DATE,,,en,4
Pezeshkian,Pezeshkian,NORP,,,en,4
2008,2008,DATE,,,en,4
2007,2007,DATE,,,en,4
June 17,June 17,DATE,,,en,4
the Africa Cup of Nations,the Africa Cup of Nations,EVENT,,,en,4
2019,2019,DATE,,,en,4
$33 million,$33 million,MONEY,,,en,4
June 15,June 15,DATE,,,en,4
Muslims,Muslims,NORP,,,en,4
248,248,CARDINAL,,,en,4
World War II,World War II,EVENT,,,en,4
June 8,June 8,DATE,,,en,4
Isfahan,Isfahan,NORP,,,en,4
October,October,DATE,,,en,4
June 12,June 12,DATE,,,en,4
Muslim,Muslim,NORP,,,en,4
a day,a day,DATE,,,en,4
185,185,CARDINAL,,,en,4
the past two days,the past two days,DATE,,,en,4
"Monday,","Monday,",DATE,,,en,4
recent years,recent years,DATE,,,en,4
Tens of thousands,Tens of thousands,CARDINAL,,,en,4
20 miles,20 miles,QUANTITY,,,en,4
"8,000","8,000",CARDINAL,,,en,4
616,616,CARDINAL,,,en,4
"March 23, 2026","March 23, 2026",DATE,,,en,4
Nepalese,Nepalese,NORP,,,en,4
7%,7%,PERCENT,,,en,4
last-minute,last-minute,TIME,,,en,4
May 19,May 19,DATE,,,en,4
15,15,CARDINAL,,,en,4
21,21,CARDINAL,,,en,4
"May 14, 2026 /PRNewswire/","May 14, 2026 /PRNewswire/",DATE,,,en,4
later this month,later this month,DATE,,,en,4
earlier this week,earlier this week,DATE,,,en,4
## Market Snapshot,## Market Snapshot,MONEY,,,en,4
May 15,May 15,DATE,,,en,4
The Iran war,The Iran war,EVENT,,,en,4
Fars,Fars,NORP,,,en,4
Uber,Uber,NORP,,,en,4
2020,2020,DATE,,,en,4
Korean,Korean,NORP,,,en,4
40,40,CARDINAL,,,en,4
six-week,six-week,DATE,,,en,4
V8,V8,PRODUCT,,,en,4
the start of 2026,the start of 2026,DATE,,,en,4
|,|,CARDINAL,,,en,4
six years,six years,DATE,,,en,4
Belgian,Belgian,NORP,,,en,4
Wasl Tower,Wasl Tower,FAC,,,en,4
the first quarter,the first quarter,DATE,,,en,4
May 2,May 2,DATE,,,en,4
January,January,DATE,,,en,4
2030,2030,DATE,,,en,4
"50,000","50,000",MONEY,,,en,4
South American,South American,NORP,,,en,4
Iran War:,Iran War:,EVENT,,,en,4
the London Marathon,the London Marathon,EVENT,,,en,4
more than a dozen,more than a dozen,CARDINAL,,,en,4
Brits,Brits,NORP,,,en,4
26%,26%,PERCENT,,,en,4
80,80,CARDINAL,,,en,4
$106 billion,$106 billion,MONEY,,,en,4
$3.5 billion,$3.5 billion,MONEY,,,en,4
this weekend,this weekend,DATE,,,en,4
the FIFA World Cup 2026,the FIFA World Cup 2026,EVENT,,,en,4
weekly,weekly,DATE,,,en,4
Albanian,Albanian,NORP,,,en,4
May 12,May 12,DATE,,,en,4
Celtic,Celtic,NORP,,,en,4
Nazi,Nazi,NORP,,,en,4
five-day,five-day,DATE,,,en,4
Kurdish,Kurdish,NORP,,,en,4
the 1990s,the 1990s,DATE,,,en,4
December 2024,December 2024,DATE,,,en,4
more than three years,more than three years,DATE,,,en,4
14th,14th,ORDINAL,,,en,4
tomorrow,tomorrow,DATE,,,en,4
Soviet,Soviet,NORP,,,en,4
Eswatini,Eswatini,EVENT,0.07777777777777778,0.08174603174603175,en,3
Britains,Britains,NORP,,,en,3
the spring,the spring,DATE,,,en,3
418,418,MONEY,,,en,3
361,361,MONEY,,,en,3
"13,000","13,000",CARDINAL,,,en,3
International Airport,International Airport,FAC,,,en,3
Last year,Last year,DATE,,,en,3
Stra,Stra,WORK_OF_ART,,,en,3
Eighteen,Eighteen,CARDINAL,,,en,3
Africans,Africans,NORP,,,en,3
more than 80,more than 80,CARDINAL,,,en,3
the decade,the decade,DATE,,,en,3
More than 80,More than 80,CARDINAL,,,en,3
April 12,April 12,DATE,,,en,3
the past two years,the past two years,DATE,,,en,3
April 9,April 9,DATE,,,en,3
Millions,Millions,CARDINAL,,,en,3
April 5,April 5,DATE,,,en,3
November,November,DATE,,,en,3
Ten,Ten,CARDINAL,,,en,3
more than four years,more than four years,DATE,,,en,3
7 years,7 years,DATE,,,en,3
Trump,Trump,PRODUCT,,,en,3
55th,55th,ORDINAL,,,en,3
about 9%,about 9%,PERCENT,,,en,3
"below $77,000","below $77,000",MONEY,,,en,3
Corvette,Corvette,PRODUCT,,,en,3
366,366,MONEY,,,en,3
256,256,MONEY,,,en,3
29,29,CARDINAL,,,en,3
May 24,May 24,DATE,,,en,3
about 20,about 20,CARDINAL,,,en,3
12th,12th,DATE,,,en,3
1986,1986,DATE,,,en,3
A decade,A decade,DATE,,,en,3
five years,five years,DATE,,,en,3
Paris Saint-Germain,Paris Saint-Germain,FAC,,,en,3
Romans,Romans,NORP,,,en,3
Roman,Roman,NORP,,,en,3
nearly 99%,nearly 99%,PERCENT,,,en,3
38,38,MONEY,,,en,3
1972,1972,DATE,,,en,3
one-day,one-day,DATE,,,en,3
Android,Android,PRODUCT,,,en,3
61,61,CARDINAL,,,en,3
early April,early April,DATE,,,en,3
May 20,May 20,DATE,,,en,3
more than 30,more than 30,CARDINAL,,,en,3
earlier this month,earlier this month,DATE,,,en,3
"5,000","5,000",CARDINAL,,,en,3
May 22,May 22,DATE,,,en,3
$905 million,$905 million,MONEY,,,en,3
11.4 percent,11.4 percent,PERCENT,,,en,3
at least 20,at least 20,CARDINAL,,,en,3
FIFA World Cup 2026,FIFA World Cup 2026,EVENT,,,en,3
June 5,June 5,DATE,,,en,3
ProTV,ProTV,PRODUCT,,,en,3
616 Day,616 Day,DATE,,,en,3
8th,8th,ORDINAL,,,en,3
"June 02, 2026 (GLOBE NEWSWIRE)","June 02, 2026 (GLOBE NEWSWIRE)",DATE,,,en,3
at least 11,at least 11,CARDINAL,,,en,3
11th,11th,ORDINAL,,,en,3
June 1,June 1,DATE,,,en,3
later this week,later this week,DATE,,,en,3
Jun 01,Jun 01,DATE,,,en,3
May 30,May 30,DATE,,,en,3
Hebrew,Hebrew,LANGUAGE,,,en,3
Shabbat,Shabbat,NORP,,,en,3
AfDB,AfDB,PRODUCT,,,en,3
1st,1st,ORDINAL,,,en,3
2026 FIFA World Cup,2026 FIFA World Cup,EVENT,,,en,3
Twenty-seven,Twenty-seven,CARDINAL,,,en,3
78,78,MONEY,,,en,3
almost 750,almost 750,CARDINAL,,,en,3
"May 02, 2026 (GLOBE NEWSWIRE)","May 02, 2026 (GLOBE NEWSWIRE)",DATE,,,en,3
six months,six months,DATE,,,en,3
pro-Iranian,pro-Iranian,NORP,,,en,3
Kursk,Kursk,PRODUCT,0.0,0.06666666666666667,en,3
These days,These days,DATE,,,en,3
first day,first day,DATE,,,en,3
$18.5M,$18.5M,MONEY,,,en,3
season,season,DATE,,,en,3
April 22,April 22,DATE,,,en,3
Emirates Stadium,Emirates Stadium,FAC,,,en,3
2029,2029,CARDINAL,,,en,3
18 months,18 months,DATE,,,en,3
10 years,10 years,DATE,,,en,3
116,116,CARDINAL,,,en,3
the Women's Six Nations,the Women's Six Nations,EVENT,,,en,3
Days,Days,DATE,,,en,3
17th-century,17th-century,DATE,,,en,3
Norwegian,Norwegian,NORP,,,en,3
Russians,Russians,NORP,,,en,3
Indian Ocean Conference,Indian Ocean Conference,EVENT,,,en,3
9th,9th,ORDINAL,,,en,3
South African,South African,NORP,,,en,3
more than a year,more than a year,DATE,,,en,3
pro-Palestine,pro-Palestine,NORP,,,en,3
70th,70th,ORDINAL,,,en,3
2000,2000,CARDINAL,,,en,3
April 8,April 8,DATE,,,en,3
four decades,four decades,DATE,,,en,3
December 31,December 31,DATE,,,en,3
May 01,May 01,DATE,,,en,3
recent months,recent months,DATE,,,en,3
Five,Five,CARDINAL,,,en,3
3.5%,3.5%,PERCENT,,,en,3
15th,15th,ORDINAL,,,en,3
four-year,four-year,DATE,,,en,3
2.25 per cent,2.25 per cent,MONEY,,,en,3
about 20%,about 20%,PERCENT,,,en,3
the Vietnam War,the Vietnam War,EVENT,,,en,3
the second quarter,the second quarter,DATE,,,en,3
seven years,seven years,DATE,,,en,3
Panama Canal,Panama Canal,FAC,,,en,3
Austrian,Austrian,NORP,,,en,3
48 hours,48 hours,TIME,,,en,3
0.5%,0.5%,PERCENT,,,en,3
108,108,MONEY,,,en,3
three-week,three-week,DATE,,,en,3
"2,000","2,000",CARDINAL,,,en,3
"20,000","20,000",CARDINAL,,,en,3
2.1%,2.1%,PERCENT,,,en,3
April 26,April 26,DATE,,,en,3
Englishman,Englishman,NORP,,,en,3
Kyrgyz,Kyrgyz,NORP,-0.01,0.01,en,3
1.1%,1.1%,PERCENT,,,en,3
Indonesian,Indonesian,NORP,,,en,3
6th week,6th week,DATE,,,en,3
9,9,CARDINAL,,,en,3
The White Lotus,The White Lotus,WORK_OF_ART,,,en,3
War,War,EVENT,,,en,3
next month,next month,DATE,,,en,3
March 23,March 23,DATE,,,en,3
dozen,dozen,CARDINAL,,,en,3
50-50,50-50,CARDINAL,,,en,3
Tehrans,Tehrans,NORP,,,en,3
March 2026,March 2026,DATE,,,en,3
8,8,MONEY,,,en,3
just weeks,just weeks,DATE,,,en,3
the early days,the early days,DATE,,,en,3
the Islamic Revolution,the Islamic Revolution,EVENT,,,en,3
Bangladeshi,Bangladeshi,NORP,,,en,3
20th,20th,ORDINAL,,,en,3
a month,a month,DATE,,,en,3
Nepali,Nepali,NORP,,,en,3
2050,2050,DATE,,,en,3
2026 International Friendly,2026 International Friendly,EVENT,,,en,3
30 days,30 days,DATE,,,en,3
Russias,Russias,NORP,0.2375,0.5416666666666666,en,3
late last year,late last year,DATE,,,en,3
50s,50s,DATE,,,en,3
Kuwaiti,Kuwaiti,NORP,,,en,3
Stratofortress,Stratofortress,PRODUCT,,,en,3
26,26,CARDINAL,,,en,3
