,phrase,label,sentiment,subjectivity,language,count
Eli Lilly's,Eli Lilly's,ORG,0.26944444444444443,0.40277777777777773,en,3
BMW,BMW,ORG,0.06666666666666667,0.07037037037037037,en,3
MediSun Energy,MediSun Energy,ORG,0.06666666666666667,0.0,en,3
Curacao,Curacao,ORG,0.0,0.16666666666666666,en,3
CONCACAF Nations League,CONCACAF Nations League,ORG,0.0,0.0,en,3
Qatar Airways,Qatar Airways,ORG,-0.125,0.2433333333333333,en,3
BALTOPS,BALTOPS,ORG,0.0,0.022222222222222223,en,3
US Navy,US Navy,ORG,-0.06666666666666667,0.4666666666666666,en,3
Energy,Energy,ORG,0.2611111111111111,0.3333333333333333,en,3
Mossad,Mossad,ORG,0.03333333333333333,0.022222222222222223,en,3
CDC,CDC,ORG,0.23333333333333336,0.5555555555555556,en,3
"REUTERS
","REUTERS
",ORG,0.16666666666666666,0.16666666666666666,en,3
Delta / Air France,Delta / Air France,ORG,0.11333333333333333,0.21666666666666667,en,3
BDI,BDI,ORG,0.03333333333333333,0.2577777777777778,en,3
the Indo-Pacific,the Indo-Pacific,ORG,-0.03373015873015873,0.041666666666666664,en,3
San Millán de los Caballeros,San Millán de los Caballeros,ORG,0.011111111111111112,0.4611111111111111,en,3
US Congress,US Congress,ORG,0.048484848484848485,0.2949494949494949,en,3
Factory Store,Factory Store,ORG,0.125,0.1111111111111111,en,3
Signal,Signal,ORG,0.0707070707070707,0.0,en,3
NATO Summit,NATO Summit,ORG,0.0,0.13333333333333333,en,3
Frontline Robotics,Frontline Robotics,ORG,-0.05339506172839506,0.1358024691358025,en,3
Hmeimim,Hmeimim,ORG,0.0,0.049999999999999996,en,3
CEVA Logistics,CEVA Logistics,ORG,-0.13333333333333333,0.26666666666666666,en,3
U.S. Air Force,U.S. Air Force,ORG,0.05212962962962963,0.1746296296296296,en,3
the Kyiv Independent,the Kyiv Independent,ORG,0.16,0.125,en,3
Paramount,Paramount,ORG,0.0,0.16666666666666666,en,3
SUTNTIB AB Tewox,SUTNTIB AB Tewox,ORG,-0.05555555555555555,0.05555555555555555,en,3
Supreme Leader,Supreme Leader,ORG,0.022727272727272724,0.0,en,3
WordPress,WordPress,ORG,0.03156565656565657,0.3042929292929293,en,3
DeepSeek,DeepSeek,ORG,0.06045454545454545,0.15141414141414142,en,3
CPC,CPC,ORG,0.012962962962962966,0.10185185185185186,en,3
Aselsan,Aselsan,ORG,0.0,0.0,en,3
Scandinavian Airlines,Scandinavian Airlines,ORG,0.07916666666666666,0.08333333333333333,en,3
AP News,AP News,ORG,-0.13888888888888887,0.17777777777777778,en,3
