,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
Latin America,Latin America,LOC,0.0669973544973545,0.4063492063492064,en,3,,,,,,,,,,
Geneva,Geneva,GPE,0.019444444444444445,0.4694444444444445,en,3,,,,,,,,,,
Lake Lucerne,Lake Lucerne,GPE,0.3333333333333333,0.6666666666666666,en,3,,,,,,,,,,
Bosnia-Herzegovina,Bosnia-Herzegovina,GPE,0.0,0.3833333333333333,en,3,,,,,,,,,,
TV3,TV3,GPE,0.0784030784030784,0.20578803912137245,en,3,,,,,,,,,,
militar,militar,GPE,0.07848484848484848,0.31050505050505056,en,3,,,,,,,,,,
Atlanta,Atlanta,GPE,-0.08333333333333333,0.2433333333333333,en,3,,,,,,,,,,
Zaporozhye,Zaporozhye,GPE,-0.05555555555555556,0.22222222222222224,en,3,,,,,,,,,,
Eastern Europe,Eastern Europe,LOC,0.13333333333333333,0.31666666666666665,en,3,,,,,,,,,,
Belfast,Belfast,GPE,-0.39999999999999997,0.5333333333333333,en,3,,,,,,,,,,
Zaporozhye Region,Zaporozhye Region,LOC,-0.05000000000000001,0.35000000000000003,en,2,,,,,,,,,,
the Baltic Sea,the Baltic Sea,LOC,0.0,0.15000000000000002,en,2,,,,,,,,,,
Birmingham,Birmingham,GPE,0.21666666666666667,0.35000000000000003,en,2,,,,,,,,,,
Rostov Region,Rostov Region,GPE,0.2708333333333333,0.6833333333333332,en,2,,,,,,,,,,
KIEV,KIEV,GPE,0.14166666666666666,0.20833333333333331,en,2,,,,,,,,,,
Golestan,Golestan,GPE,0.0,0.0,en,2,,,,,,,,,,
the Persian Gulf,the Persian Gulf,LOC,0.0702020202020202,0.28585858585858587,en,2,,,,,,,,,,
Alpine,Alpine,LOC,0.1919642857142857,0.4669642857142857,en,2,,,,,,,,,,
Oryol,Oryol,GPE,-0.1,0.0,en,2,,,,,,,,,,
Guangzhou,Guangzhou,GPE,0.052500000000000005,0.16,en,2,,,,,,,,,,
Temryuk,Temryuk,GPE,-0.03333333333333333,0.0,en,2,,,,,,,,,,
Yaroslavl region,Yaroslavl region,LOC,0.2,0.5,en,2,,,,,,,,,,
Venice Biennale,Venice Biennale,GPE,0.1625,0.1125,en,2,,,,,,,,,,
Niagara Falls,Niagara Falls,GPE,0.0,0.0,en,2,,,,,,,,,,
Golestan province,Golestan province,GPE,0.0,0.0,en,2,,,,,,,,,,
Blue Stream,Blue Stream,LOC,-0.06666666666666667,0.15000000000000002,en,2,,,,,,,,,,
